gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000198053,189.69333284743752,2.6574248060324184,0.21432101543662832,12.399273121296783,2.6370482408156636e-35,1.1893087566078643e-32
ENSG00000168734,93.6149337555871,3.831043447336157,0.3363997604608139,11.388365562710986,4.7786922981517976e-30,1.0775951132332303e-27
ENSG00000125844,8034.5392068165465,0.5374420833125464,0.054203471131354236,9.915270592359917,3.57286993918073e-23,5.371214475235031e-21
ENSG00000124145,3405.8857488607723,0.6712902601416065,0.06903563096642895,9.723823056937736,2.3864916437656763e-22,2.6907693283458e-20
ENSG00000182463,251.08816567368996,-1.670395381956402,0.17222406337475915,-9.69896627233574,3.0456865521891326e-22,2.747209270074598e-20
ENSG00000124107,1441.0811457927662,0.668557103946622,0.07672191854456904,8.714030053331449,2.9325858066198202e-18,2.2043269979758983e-16
ENSG00000124203,6206.776009252799,0.4255159702574511,0.05187233039705032,8.203139650761628,2.3418888600091975e-16,1.508845536948783e-14
ENSG00000101311,2621.3335473437673,-0.4285714340975843,0.06070396523767166,-7.060023713765926,1.6647419210941007e-12,9.384982580167993e-11
ENSG00000101230,207.47249766011333,1.2323764895689031,0.17663709687716608,6.976883742750262,3.01799241302139e-12,1.5123495314140522e-10
ENSG00000125520,5358.5688953972085,-0.382747754512734,0.055019872331250476,-6.956536580244642,3.487397366256208e-12,1.57281621218155e-10
ENSG00000101160,22931.909267271025,0.3811597632005457,0.05677480837401373,6.713536762459694,1.899627295087501e-11,7.788471909858754e-10
ENSG00000026559,54.34556066730737,2.464326321441206,0.3686585153565416,6.684577240967501,2.3159222646363277e-11,8.065996646395191e-10
ENSG00000215440,2087.7340093960293,-0.4439435287066321,0.06641880406125125,-6.6840036489851355,2.3250101198034917e-11,8.065996646395191e-10
ENSG00000088367,4268.797804257409,0.5044761077456265,0.07562819166374182,6.6704769299341296,2.549734553179776e-11,8.213787739171993e-10
ENSG00000179772,25.28990077059565,4.956851781563636,0.7857632386128232,6.308327417192999,2.820670200248585e-10,8.480815068747411e-9
ENSG00000054793,4136.900996638293,-0.34535782472557763,0.05575221310406563,-6.194513284718253,5.846540990736645e-10,1.6467432249222097e-8
ENSG00000197114,656.5577038198292,-0.6638272925721521,0.1073272566095954,-6.185076499130453,6.20723610281099e-10,1.6467432249222097e-8
ENSG00000101255,3811.4752519456333,-0.3768530651511245,0.06165843032346476,-6.111947112083862,9.842280491009184e-10,2.4660380563584124e-8
ENSG00000125970,5333.410135587459,-0.34708724340146596,0.05957067610700775,-5.826478161469708,5.660927091243616e-9,1.3437253253425635e-7
ENSG00000131069,1020.7390782524787,0.6454832011451719,0.11129762017096115,5.799613685842188,6.646786415859059e-9,1.498850336776218e-7
ENSG00000101335,724.3837500846565,0.6096487762378078,0.10911650280601337,5.587136322739719,2.3084451329899856e-8,4.957660737992778e-7
ENSG00000124126,1267.3899672217042,-0.4289646128083155,0.07735424682939039,-5.545456524894149,2.9318818046710725e-8,6.010357699575699e-7
